City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,pacocha,-17.5833,-71.3333,21.22,89,99,1.93,PE,1710405988
351,hotan,37.0997,79.9269,12.94,20,99,3.69,CN,1710405988
352,antsiranana,-12.2787,49.2917,31.42,66,40,6.17,MG,1710405988
353,vadso,70.0744,29.7487,-3.91,86,75,5.14,NO,1710405988
354,holualoa,19.6228,-155.9522,21.91,84,0,5.14,US,1710405989
355,poronaysk,49.2167,143.1167,-10.79,88,78,1.24,RU,1710405989
356,nova sintra,14.8667,-24.7167,19.78,73,2,6.13,CV,1710405990
357,lasem,-6.6922,111.4527,27.07,87,100,7.25,ID,1710405990
358,scottburgh,-30.2867,30.7532,21.5,78,100,6.98,ZA,1710405990
359,saint-pierre,-21.3393,55.4781,29.82,70,75,8.23,RE,1710405990
360,constitucion,-35.3333,-72.4167,12.14,83,0,3.04,CL,1710405991
361,silver springs,29.1044,-82.0206,16.08,92,9,1.51,US,1710405991
362,oamaru,-45.0784,170.9801,10.77,80,11,2.8,NZ,1710405899
363,hobyo,5.3505,48.5268,30.37,56,52,8.37,SO,1710405992
364,ventspils,57.3894,21.5606,5.96,87,20,6.17,LV,1710405508
365,laela,-8.5667,32.05,23.93,65,61,2.63,TZ,1710405992
366,shihezi,44.3,86.0333,4.12,65,100,3.6,CN,1710405869
367,okha,53.5739,142.9478,-15.74,93,9,4.81,RU,1710405993
368,albertina,-22.2008,-46.6158,18.83,89,2,1.68,BR,1710405993
369,adrar,20.5022,-10.0711,22.71,17,0,6.62,MR,1710405993
370,manokwari,-0.8667,134.0833,26.15,87,100,3.87,ID,1710405993
371,fortuna,40.5982,-124.1573,6.19,94,20,0.0,US,1710405890
372,nadym,65.5333,72.5167,-11.76,82,99,6.04,RU,1710405994
373,shubarshi,48.5872,57.1869,-2.63,83,70,3.03,KZ,1710405994
374,east london,-33.0153,27.9116,19.52,88,100,3.6,ZA,1710405916
375,camana,-16.6228,-72.7111,22.04,90,100,2.37,PE,1710405995
376,quellon,-43.1167,-73.6167,8.03,88,9,3.02,CL,1710405995
377,springbok,-29.6643,17.8865,19.32,42,0,6.17,ZA,1710405995
378,patong,7.8961,98.2966,34.08,67,31,6.41,TH,1710405996
379,fort bragg,35.139,-79.006,11.56,78,0,0.89,US,1710405996
380,gizo,-8.103,156.8419,28.96,81,100,3.72,SB,1710405996
381,dudinka,69.4058,86.1778,-15.21,85,95,6.26,RU,1710405997
382,acapulco de juarez,16.8634,-99.8901,23.8,78,100,1.3,MX,1710405997
383,panaba,21.2833,-88.2667,22.4,95,2,3.74,MX,1710405998
384,targuist,34.9377,-4.3186,12.41,65,15,0.66,MA,1710405999
385,lorengau,-2.0226,147.2712,28.42,79,100,5.59,PG,1710405999
386,klyuchi,52.2667,79.1667,-7.79,83,100,5.82,RU,1710405999
387,muscat,23.6139,58.5922,26.01,47,49,3.4,OM,1710405871
388,la jolla,32.8473,-117.2742,13.52,91,0,1.54,US,1710406000
389,ambalangoda,6.2355,80.0538,29.43,70,98,5.5,LK,1710406000
390,sona,45.4388,10.8255,13.6,76,63,1.03,IT,1710406001
391,kittila,67.6647,24.8936,-5.77,86,100,3.09,FI,1710406001
392,colchani,-20.3,-66.9333,11.94,75,100,2.8,BO,1710406002
393,bodo,67.28,14.405,-0.86,87,100,11.32,NO,1710406002
394,dalandzadgad,43.5708,104.425,13.63,8,0,4.17,MN,1710406003
395,yulinshi,38.2906,109.7494,14.31,16,0,6.94,CN,1710405867
396,murzuq,25.9155,13.9184,22.62,19,33,8.06,LY,1710406003
